,name,type,ingredient,abv,volume,description,imageURL
11,곤드레생막걸리,탁주,"백미(국내산), 감자(정선산), 곤드레(정선산)",6%,750ml,국내산 쌀과 메밀로 빚은 생막걸리로 메밀쌀로 빚어 메밀향이 그대로 살아있다.,https://thesool.com/common/imageView.do?targetId=PR00000762&targetNm=PRODUCT
12,과천미주,탁주,"정제수, 쌀(국내산), 국, 효모, 밀함유",9%,500ml,"생쌀발효 맑은 탁주로 우리 쌀 막걸리의 풍부한 맛을 균형있게 느낄 수 있다. 친한 벗과의 정겨운 식탁, 하루를 마치는 휴식의 집술을 지향한다.",https://thesool.com/common/imageView.do?targetId=PR00000708&targetNm=PRODUCT
13,관악산생막걸리,탁주,"정제수, 멥쌀(국내산), 국, 효모, 밀함유",6%,1000ml,생쌀발효 탁주로 큰 잔에 즐겁게 들이킬 수 있는 편안하고 담백한 막걸리이다. 가장 대중적인 무감미료 우리쌀 막걸리를 지향한다.,https://thesool.com/common/imageView.do?targetId=PR00000709&targetNm=PRODUCT
14,광양 생 막걸리,탁주,"정제수, 쌀(국산100%), 입국(국산), 곡자(국산누룩), 아스파탐(감미료, 페닐알라닌 함유), 정제효소, 효모, 젖산, 액화효소",5%,750ml,국산 햅쌀을 사용한 목 넘김이 부드럽고 깔끔한 맛이 살아있는 막걸리.,https://thesool.com/common/imageView.do?targetId=PR00000154&targetNm=PRODUCT
15,광양 생 막걸리 골드,탁주,"정제수, 쌀(국산100%), 입국(국산), 곡자(국산누룩), 아스파탐(감미료, 페닐알라닌 함유), 정제효소, 효모, 젖산, 액화효소",5%,750ml,"한국식품연구원에서 개발된 국산효모로 만든 막걸리로 햅쌀, 토종 앉은뱅이 밀누룩 등 국내산 좋은 재료를 100% 사용하여 목 넘김이 부드럽고 깔끔한 맛이 살아있는 프리미엄 쌀 막걸리다.",https://thesool.com/common/imageView.do?targetId=PR00000153&targetNm=PRODUCT
16,구름을 벗삼아,탁주,"백미(국내산: 지역햅쌀 100%), 우리밀 전통누룩",12%,750ml,문경주조의 구름을 벗삼아는 유기농 찹쌀과 전통누룩을 사용한 단 맛이 살짝 가미된 깔끔한 스타일의 탁주이다. 일반 쌀 막걸리와 달리 단 맛이 적고 도수가 낮아 반주로도 가볍게 즐기기 좋은 술이다.,https://thesool.com/common/imageView.do?targetId=PR00000118&targetNm=PRODUCT
17,구암대추막걸리,탁주,"쌀, 대추",6%,1000ml,"청송의 맑은 물과 수목이 가득한 자연 속에서 직접 재배한 양질의 대추로 만든 대추엑기스, 국내산 100% 쌀로 정성껏 빚어 목 넘김이 부드러운 막걸리이다. 구암농산은 1981년 대추농장으로 2만주 대추나무를 식재하여 현재 약7만평규모, 20만평 야산을 보유하고 있는 경북최대 대추농장으로 성장하여 2008년 구암농산을 설립하였고, 2년여 연구개발 끝에 2010년부터 맛과 기술에서 인정받는 대추 막걸리를 생산해 오고 있다.",https://thesool.com/common/imageView.do?targetId=PR00000230&targetNm=PRODUCT
18,국순당 생막걸리 대박,탁주,쌀,6%,750ml,국순당의 생막걸리 ‘대박’은 막걸리 제조에 가장 중요한 원료인 누룩과 효모를 막걸리 빚기에 가장 적합하도록 국순당에서 직접 배양한 전통식 누룩과 막걸리 전용 효모를 사용해 막걸리 본연의 맛을 가장 잘 담아낸 제품이다. 대박 막걸리는 3단 발효법과 냉장숙성 공법을 도입해 막걸리 내의 불필요한 잡맛을 최대한 없애 막걸리 고유의 맛과 신선함을 최대한 유지할 수 있도록 개발됐다. 또 발효 이후 6도 이하에서 냉장숙성과정을 거쳐 목넘김이 부드럽고 잡맛을 잡아 줘 깔끔한 맛이 더욱 살아나도록 한 게 특징이다. 전체적으로 다른 막걸리보다 술을 빚는 과정에서 생성된 탄산 함량이 높아 탄산에서 느낄 수 있는 톡톡 터지는 듯한 청량감이 뛰어나다. 발효 과정 때 자연적으로 만들어지는 전통주 특유의 과일 향을 입안 가득 느낄 수 있다는 점도 매력적이다.,https://thesool.com/common/imageView.do?targetId=PR00000171&targetNm=PRODUCT
19,국순당 이화주,탁주,"이화누룩, 국내산쌀",12.5%,400ml,이화주는 국순당이 두 번째로 복원한 우리술이다. 고려 시대 이화주의 농후한 맛을 되살린 최고급 탁주로 이름의 ‘이화梨花’는 배꽃이 필 무렵에 담그는 데에서 유래했다는 설과 술의 빛깔이 배꽃처럼 희어서 붙여졌다는 설이 함께 전해지고 있다. 숟가락으로 떠먹을 수 있을 정도로 걸쭉하며 어디에서도 맛볼 수 없는 단맛과 신맛의 조화가 매력적이다.,https://thesool.com/common/imageView.do?targetId=PR00000168&targetNm=PRODUCT
20,금정산성막걸리,탁주,"백미, 밀(누룩), 정제수",8%,750ml,금정산성막걸리는 술빚기에 적합한 온도와 습도가 유지되는 해발 400m의 청정 환경을 갖춘 금정산성마을에서 제조된다. 깨끗한 자연환경속에서 발효된 자연산 누룩과 250m의 암반수를 사용하여 금정산성 전통 막걸리의 맛을 그대로 느낄 수 있는 알코도수 8도의 100% 국내산 살아있는 쌀막걸리로 누룩 질이 전국 으뜸이며 산수로 술을 빚기 때문에 은은한 향과 구수한 맛이 일품이다.,https://thesool.com/common/imageView.do?targetId=PR00000209&targetNm=PRODUCT
21,금풍양조,탁주,"정제수, 쌀(강화도), 국, 효모, 밀함유",6.9%,750ml,강화도 무농약쌀과 온수리 지하수로 만든 막걸리. 막거리 도수는 양조장을 인수한 1969년을 상징한다.,https://thesool.com/common/imageView.do?targetId=PR00000710&targetNm=PRODUCT
22,기다림 16,탁주,"국내산 찹쌀, 국내산 흑미, 곡자, 정제수",9%,750ml,"기다림 16은 효모가 향기를 생성하는 온도인 16도에서 100일간 저온 발효 시키는 술로써 저온 발효주의 부드러움과 와인과 흡사한 아로마와 부케를 즐길 수 있는 술이다. 특히 흑미는 안토시아닌이 풍부해서 건강하게 마실 수 있는 자연 그대로의 술이다. 누룩을 빚기 위해 100일, 발효숙성을 위해 100일을 기다려 1일 200병만 한정 수량생산하는 프리미엄 막걸리이다. 부산의 시화 동백꽃을 모티브로 하고 동백꽃의 꽃말이기도한 기다을 브랜드로 하였다.",https://thesool.com/common/imageView.do?targetId=PR00000091&targetNm=PRODUCT
23,기다림 25,탁주,"국내산 백미, 국내산 찹쌀, 곡자, 정제수",8%,750ml,"&quot;기다림 25&quot;는 술을 빚는데 큰 역할을 하는 효모가 좋아하는 온도 25도에서 100일간 발효시킨 술로써 술을 빚는 인간과 자연의 미생물의 조화로 만들어진다.누룩을 빚기 위해 100일, 발효숙성을 위해 100일을 기다려 1일 200병만 한정 수량 생산하는 프리미엄 막걸리이다. 백미, 찹쌀, 곡자(밀누룩), 정제수 이외에 어떠한 인공첨가물이 추가되지 않고 빚어낸다. 부산의 시화 &quot;동백꽃&quot;을 모티브로 하고 동백꽃의 꽃말이기도 한 &quot;기다림&quot;을 브랜드로 하였다.",https://thesool.com/common/imageView.do?targetId=PR00000090&targetNm=PRODUCT
24,기다림 34,탁주,"국내산 멥쌀, 국내산 찹쌀, 곡자, 정제수",12%,500ml,"""기다림 34""는 공인 사케 소믈리에면서 와인 소믈리에인 조태영 대표가 34세에 처음 출시하고, 양조장의 지번이 34번지에 착안하여 이름 붙여진 프리미엄 막걸리이다. 우수한 자연재료와 뛰어난 양조기술을 바탕으로 동백꽃과 같이 우아한 향기를 내뿜는 명품 막걸리로써 쌀로 만들어진 술이라고 의심할 만큼의 부드러운 목 넘김과 긴 여운을 전해준다. 기다림"" 시리즈를 생산하고 있는 제이케이크래프트는 술의 원재료인 쌀과 누룩에서도 특별함이 있다. 쌀은 바다와 인접해 있는 섬이라 ""해포도""라고 불리는 해포에서 생산하는 ""해포 맑은 쌀""을 사용한다. 부산 내음 가득한 쌀로 부산의 풍부한 햇볕, 맑은 공기, 깨끗한 물의 기운을 술에 담아내고 있다. 누룩은 토종 우리밀인 ""진주 앉은 뱅이 밀""을 사용하여 누룩을 생산하는데 ""기다림"" 제품이 부드럽고 향기로운 비결이기도 하다.",https://thesool.com/common/imageView.do?targetId=PR00000089&targetNm=PRODUCT
25,김포 막걸리,탁주,"쌀, 누룩, 정제수",6%,750ml,"1962년에 설립하여 현재 66년의 양조장 역사를 자랑하는 경기도 김포의 대표적인 양조장인 김포양조에서 생산한 막걸리이다. 엄선된 원료로 전통적인 비법으로 제조하면서도 위생적인 작업환경과 최첨단 현대시설장비로 제조하고 있다. 우리 몸에 좋은 효모균이 그대로 살아 있으며 자연 발효에 의한 탄산과 어우러져 전통탁주에서 느껴지는 감칠맛, 청량감이 뛰어난 제품이다. 시원한 단맛이 일품이고 탄산과 단맛이 적당하고, 부러운 목 넘김이 특징인 제품이다. 또한 향 또한 매우 좋다는 평가를 받고 있다. 제조사 김포양조는 전통주 제조에 대한 66년의 업력을 지니고 있는 제조사로 전통적인 기법으로 제조하면서도 현대인의 입맛도 사로잡는 제품을 생산하고 있다. 막 지은 밥과 바로 쪄낸 떡을 연상시키는 포근한 향과 은근한 쌀의 향이 어우러진 막걸리이다.",https://thesool.com/common/imageView.do?targetId=PR00000183&targetNm=PRODUCT
26,까메오 막걸리,탁주,"정제수, 쌀, 효모, 누룩, 과당 등",6%,550ml,"까메오 막걸리는 국내산 쌀을 원료로, 지장수의 미네랄이 풍부하게 함유되어 있는 것이 특징이다. 아스파탐을 넣지 않으며 무첨가제로 빚어 뒤끝 없이 깔끔해 세계인의 입맛을 사로잡은 낙천의 대표 프리미엄 막걸리다. 낙천의 막걸리는 쌀을 지장수에 발효시키고 있다. 황토땅을 판뒤에 물을 붓고 휘저어 인위적으로 채취하는 일반적인 지장수와는 다르게 약천골 지장수는 지질학적으로 5억 7천만년 전 지하145m의 황토암반층에서 자연적으로 생성된 지장수로, 암반층의 미네랄까지 함유하고 ph8.2인 것이 특징이다. 막걸리 원재료중에서도 가장 중요한 ""물맛""은 약천골 지장수로 보장되는 셈이다.",https://thesool.com/common/imageView.do?targetId=PR00000088&targetNm=PRODUCT
27,꿀막걸리,탁주,"쌀(국내산), 벌꿀(국내산), 사과농축액, 효모, 정제효소",8%,750ml,"농업회사법인㈜청산녹수의 ""청산녹수 생탁""에 천연 벌꿀을 가미하여 젊은 여성 소비자가 막걸리에 대한 거부감 없이 쉽게 접할 수 있도록 만든 제품이다. 전남 장성군의 자랑인 편백나무숲 맑은 공기와 청정한 물, 국내산 쌀과 전통누룩으로 빚어 저온에서 숙성한 제품이다. ㈜청산녹수만의 전통 누룩을 사용하여 전통적인 막걸리 맛을 지키면서 트랜디한 단맛을 자랑하는 제품이다. 청산녹수 꿀막걸리는 ""청산녹수 생탁""에 천연 벌꿀을 가미하여 젊은 여성 소비자가 막걸리에 대한 거부감 없이 쉽게 접할 수 있도록 만든 제품이다. 전남 장성군의 자랑인 편백나무숲 맑은 공기와 청정한 물, 국내산 쌀과 전통누룩으로 빚어 저온에서 숙성한 제품이다.",https://thesool.com/common/imageView.do?targetId=PR00000193&targetNm=PRODUCT
28,나루 생 막걸리 11.5도,탁주,"정제수, 쌀(국내산), 국, 효모(밀함유)",11.5%,500ml,"높은 쌀 함유량으로 원재료인 쌀 본연의 단맛을 살려 깔끔한 목넘김을 가지고 있습니다. 묵직한 텍스처, 청사과와 배의 향이 나며 시트러스 계열의 여운이 깊게 남습니다. 무더운 여름, 얼음을 곁들여 온더락으로 마시기 좋은 막걸리입니다.",https://thesool.com/common/imageView.do?targetId=PR00000135&targetNm=PRODUCT
29,나루 생 막걸리 6도,탁주,"정제수, 쌀(국내산), 국, 효모(밀함유)",6%,935ml,원재료인 쌀 본연의 맛을 살려 깔금하게 넘어가는 목넘김이 좋은 인공 감미료 및 천연감미료 무첨가 막걸리입니다. 시간의 지남에 따라 주차별로 맛이 달라져 취향에 맞게 즐기기 좋습니다.,https://thesool.com/common/imageView.do?targetId=PR00000136&targetNm=PRODUCT
30,냥이탁주 fresh,탁주,"정제수, 쌀(국내산), 찰보리(국내산), 찰수수(국내산), 벌꿀(국내산), 오미자(국내산), 송순(국내산), 누룩, 개량누룩, 밀함유",5%,350ml,고양시 최초의 프리미엄 지역특산주. 인공감미료 없이 고양시에서만 생산되는 품질 좋은 가와지쌀을 주재료로 만든 막걸리. 고양시의 대표 캐릭터 고양이에서 이름을 따온 젊은 감각의 귀여운 고양이 패키지와 밸런스 좋은 새콤달콤 풍성한 맛이 특징이다. 풍무한 유기산이 포함되어 있어 거슬리지 않는 부드러운 신맛과 단맛이 잘 어우러져 있으며 차갑게 해서 마실수록 막걸리 본연의 맛을 즐길 수 있다.,https://thesool.com/common/imageView.do?targetId=PR00000712&targetNm=PRODUCT
31,느린마을 막걸리,탁주,"쌀, 국, 효모, 정제수",6%,750ml,"느린 마을 막걸리는 계절마다 맛이 약간씩 다릅니다. 쌀과 물, 누룩만을 이용해서 빚는 술이기 때문에 계절에 따라 온도와 습도 등 계절마다 다른 숙성 환경이 그 이유입니다. 일체 다른 인공감미료를 넣지 않아 만들어 원재료 그대로의 맛을 느낄 수 있는 막걸리입니다. 여름에 잘 익은 과일향이 올라오고 독특한 단맛을 가지고 있는 것이 특징이며, 입 안에 연하게 남는 쓴맛이 음식과의 조화를 잘 이룹니다.",https://thesool.com/common/imageView.do?targetId=PR00000199&targetNm=PRODUCT
32,님 그리다,탁주,"찹쌀, 멥쌀, 누룩(밀)",6%,750ml,"인공 감미료, 첨가물을 넣지 않고 가야양조장의 발표, 숙성기술로 혼신을 다해 빚어 맛이 진하고 부드러우며 천연의 과일향이 나는 프리미엄 막걸리. 옛 농주의 맛을 그대로 재현하고자 전통 이양주 기법에 밑술, 덧술 담금에 가수를 적게 했고 농담금법으로 보다 더욱 깊고 걸죽하게 빚었습니다.",https://thesool.com/common/imageView.do?targetId=PR00000713&targetNm=PRODUCT
33,다랭이팜 생막걸리,탁주,"지하정제수, 9분도쌀, 찹쌀, 혼합제제 누룩,",6%,750ml,"다랭이팜에서는 막걸리에 사용되는 원료를 모두 까다롭게 선택하며, 고급원료에 대한 자부심이 있다. 일체의 첨가물 없이 유기농 7분도 현미, 누룩, 암밤수 그리고 남해의 특산물을 넣어 전통 주조 방식을 사용해 항아리에서 익힌다. 단맛이 적지만 깔끔하고 드라이한 맛이 난다. 은은한 누룩의 향을 느낄 수 있으며 부드럽고 담백하다.",https://thesool.com/common/imageView.do?targetId=PR00000098&targetNm=PRODUCT
34,다랭이팜 유자 막걸리,탁주,"정제수, 유기농7분도쌀, 친환경유자원액, 혼합제과 누룩",6%,750ml,"유기농 7분도 현미를 전통항아리에서 발효시켜 빚은 생 막걸리에 유기농 유자원액을 넣어 만든 막걸리로, 합성감미료 없이도 유자의 싱그러운 향기가 난다. 마치 유자밭에 온 듯 착각하게 만드는 강한 유자향 때문에 단맛보다 산미가 강하게 느껴지며, 목 넘김이 깔끔하지만 가볍지 않은 바디감으로 반전 매력이 있다. 유자 특유의 씁쓸한 맛으로 음식과 조합이 좋다.",https://thesool.com/common/imageView.do?targetId=PR00000095&targetNm=PRODUCT
35,담은,탁주,"정제수, 쌀(국내산), 입국, 효모, 기타과당, 정제효소제",6.5%,750ml,포천시 최고급 쌀을 사용하고 국립식품연구원에서 직접 개발한 전통누룩균주를 사용한다. 합성감미료를 사용하지 않고 고두밥을 찌지 않았으며 생쌀을 발효했다. 입안에 넣었을 때 부드러운 목넘김과 묵직한 바디감이 느껴지는 술이다.,https://thesool.com/common/imageView.do?targetId=PR00000112&targetNm=PRODUCT
36,대관람차,탁주,,15%,500ml,달콤한 참외향이 코끝을 타는 순간 대관람차의 운행은 시작됩니다. 대관람차는 탑승객 여러분의 운행 중 안전을 위하여 안전 속도를 준수합니다. 한 모금씩 천천히 즐기시길 당부 드립니다. (원샷을 다른 탑승객들의 안전을 위해 금해주세요. 대관람차를 함께 탑승 중이신 일행과 많은 추억을 공유하세요.,https://thesool.com/common/imageView.do?targetId=PR00000795&targetNm=PRODUCT
37,대대포 막걸리,탁주,"쌀, 벌꿀, 정제수, 정제효소, 스테비올배당체, 젖산, 종국, 효모",6%,750ml,"대대포 막걸리는 담양에서 생산된 100% 유기농 쌀을 원료로 사용하여 쌀의 아밀로스를 최적화시킨 향미가 살아있는 생막걸리입니다.각종 미네랄, 비타민이 풍부한 지리산 벌꿀을 첨가해 씁쓸하고 텁텁한 감이 있으며, 맛이 깔끔하고 달달해 애주가들에게 청량감과 감칠맛이 뛰어나다고 평가받고 있습니다.",https://thesool.com/common/imageView.do?targetId=PR00000142&targetNm=PRODUCT
38,도구막걸리,탁주,"밀(외국산), 쌀(국내산, 외국산), 물엿, 효모, 조제종국, 정제효소제, 아스파탐, 젖산",6%,750ml,도구 막걸리는 1955년 도구양조장이 설립되면서 처음으로 만들어진 막걸리이다. 양조장이 위치한 포항시 남구 동해면이 옛 지명으로는 도구리라서 지명을 따서 막걸리를 만들게 되었다. 도구 막걸리는 밀과 쌀로 빚은 막걸리로 밀막걸리 특유의 구수한 향과 예스러움을 간직한 막걸리이다.,https://thesool.com/common/imageView.do?targetId=PR00000763&targetNm=PRODUCT
39,도깨비술 11,탁주,"정제수, 쌀, 국,효모",11%,750ml,"단양 물과 의림지 쌀, 우리밀 누룩을 사용했으며 무감미료, 무첨가물로 만들었다. 묵직하고 깊지만 달콤한 맛이 나며 뒷맛은 고소함이 남는다. 질감이 걸쭉하여 목넘김이 부드럽다.",https://thesool.com/common/imageView.do?targetId=PR00000101&targetNm=PRODUCT
40,도깨비술 7,탁주,"국내산 멥쌀, 누룩, 효모, 정제수",7%,750ml,"도깨비술 7%는 시원한 멜론향과 바닐라향이 이채로운 술이다. 도깨비양조장에서 만든 도깨비술은 7%, 9%, 11% 세 종류가 있다. 도수에 관계없이 도깨비술이 보여주는 분명한 특징이 있는데 바로 깔끔함이다. 마시고 나서 입안에 텁텁하게 남는 느낌이 전혀 없다. 도깨비술은 우리밀로 만든 누룩을 넣고 100% 멥쌀로만 만든다. 찹쌀을 섞으면 단맛을 내기 쉽지만 술이 끈적해지기 때문에 쓰지 않는다. 대신 쌀 투입량을 늘려 단맛을 낸다. 단양은 산지라 논농사가 드물어 쌀은 인접한 제천 의림지 쌀을 가져다 쓴다. 먼저 밑술을 만들고 이틀 후 덧술을 하는 이양주 방식이다. 발효에 보름, 숙성에 사나흘이 걸린다.",https://thesool.com/common/imageView.do?targetId=PR00000084&targetNm=PRODUCT
41,도깨비술 9,탁주,"국내산 멥쌀, 누룩, 효모, 정제수",9%,750ml,"도깨비술 9%는 적당한 단맛과 부드러운 느낌, 그리고 혀 끝에 맴도는 배향이 이채로운 술이다. 도깨비양조장에서 만든 도깨비술은 7%, 9%, 11% 세 종류가 있다. 도수에 관계없이 도깨비술이 보여주는 분명한 특징이 있는데 바로 깔끔함이다. 마시고 나서 입안에 텁텁하게 남는 느낌이 전혀 없다. 도깨비술은 우리밀로 만든 누룩을 넣고 100% 멥쌀로만 만든다. 찹쌀을 섞으면 단맛을 내기 쉽지만 술이 끈적해지기 때문에 쓰지 않는다. 대신 쌀 투입량을 늘려 단맛을 낸다. 단양은 산지라 논농사가 드물어 쌀은 인접한 제천 의림지 쌀을 가져다 쓴다. 먼저 밑술을 만들고 이틀 후 덧술을 하는 이양주 방식이다. 발효에 보름, 숙성에 사나흘이 걸린다.",https://thesool.com/common/imageView.do?targetId=PR00000085&targetNm=PRODUCT
42,도문대작 생막걸리,탁주,"강릉 쌀, 누룩, 갯방풍나물, 정제수",10%,750ml,"방풍도가에서 생산하고 있는 방풍막걸리 ""도문대작""은 강릉 지역의 특산품인 방풍나물을 첨가해서 빚는 향약주이다. 도문대작 막걸리는 도수는 10%로 일반적으로 6%에 분포되어 있는 막걸리보다는 알코올 함량이 높다. 색은 뽀얀 두유색으로 묵직한 질감이 느껴진다. 향은 굉장히 드라이한 편이고 단맛은 거의 없고 산미가 있고 쓴맛이 많이 나는 막걸리이다. 또 탄산은 적은 편이어서 탁한 정도가 높고 입자는 곱고 부드러운 편이다.",https://thesool.com/common/imageView.do?targetId=PR00000187&targetNm=PRODUCT
43,동래아들,탁주,"정제수, 찹쌀, 맵쌀, 밀누룩",6%,750ml,일체의 첨가물 없이 쌀과 누룩으로만 빚은 막걸리이다. 최상의 품질을 유지하기 위해 하루 500병 한정 생산하며 긴 발효시간과 숙성기간을 거쳐 탄생됐다. 마시면 마실수록 입안에 퍼지는 상큼함과 달콤함이 매력적인 탁주이다.,https://thesool.com/common/imageView.do?targetId=PR00000128&targetNm=PRODUCT
44,동백우리쌀생막걸리,탁주,"정제수, 쌀 소맥분 물엿, 곡자, 효모, 조제종국, 정제효소, 아스파탐,아세설팜칼륨",6%,750ml,기장 백운산 자락 지하수를 길어 술을 빚는다. 동백 양조장만의 방식으로 고두밥을 찔 때 밀가루와 쌀을 적절한 비율로 섞어 시골에서 뚝배기에 담아 먹던 옛 막걸리의 맛을 재현하려했다. 탄산의 상큼하면서도 부드럽고 단 맛을 느낄 수 있다.,https://thesool.com/common/imageView.do?targetId=PR00000096&targetNm=PRODUCT
45,동정춘,탁주,"쌀, 누룩, 정제수",8%,500ml,"동정춘은 옛 문헌에서 명주로 불린 술로 술을 빚을 때 거의 물이 들어가지 않아 술을 빚기가 여간 어려운 술이다. 발효과정에서 얻어지는 술의 양이 매우 적어서 그 만큼 값비싼 술이다. 동정춘에 대한 기록은 동정춘에 대한 기록은 《조선무쌍신식요리제법, 1924》과 《임원십육지, 1827년경》에서 찾을 수 있다. 인공첨가물이 들어가지 않은 자연 발효에 의한 향과 맛이 아주 좋아 고급방향주로 취급되는 술이다.",https://thesool.com/common/imageView.do?targetId=PR00000180&targetNm=PRODUCT
46,동해동동주,탁주,쌀100%(포항쌀),6%,750ml,쌀이 동동 뜬 옛 동동주의 모습을 연상시켜 아직까지 많은 애주가들에게 사랑을 받고 있는 술입니다. 청량감과 단맛이 적절하게 어우러져 부드러운 맛과 시원함을 동시에 느낄 수 있습니다.,https://thesool.com/common/imageView.do?targetId=PR00000121&targetNm=PRODUCT
